"","Genedataset1.FC","Genedataset1.FDR","Genedataset2.FC","Genedataset2.FDR","Genedataset3.FC","Genedataset3.FDR","Genedataset4.FC","Genedataset4.FDR","Count"
"GPIHBP1","no value","no value","no value","no value","no value","no value","0.942794553845191","0.132498215626761",0
"GPKOW","0.74306300622066","0.0901004332683542","no value","no value","no value","no value","no value","no value",-1
"GPLD1","0.584399450079136","6.8305696208028e-07","0.564723152516963","9.31635711255963e-08","no value","no value","0.630434947888559","4.33677265429514e-06",-3
"GPM6A","0.557861900031742","8.28620513648901e-05","2.52163153144726","0.00490091274194871","no value","no value","1.22552687438866","0.190440327333712",0
"GPM6B","2.1959628516699","0.00442944713132847","2.17473613274957","6.50388080258327e-07","no value","no value","no value","no value",2
"GPN1","no value","no value","no value","no value","no value","no value","0.99273639706129","0.638750807124612",0
"GPN2","no value","no value","no value","no value","no value","no value","0.993728517287687","0.460391277475803",0
"GPN3","no value","no value","no value","no value","no value","no value","0.915846429448586","0.0550794229321421",-1
"GPNMB","0.405055629150705","0.000451408670199623","0.4640815756489","0.00968260630847476","no value","no value","1.80959052124993","0.00116224275236984",-1
"GPR1","0.816704987705285","0.00113376922053014","0.837632125938117","0.000847451592011076","no value","no value","2.09276263046314","2.62814535021482e-05",-1
"GPR101","0.506102478348703","0.139467280542964","7.7769443077338","1.18310281850578e-11","no value","no value","no value","no value",1
"GPR103","2.4601498011032","0.00462849352378546","6.71358417637201","2.15617037436501e-09","no value","no value","no value","no value",2
